Round,Date,Home Team,Score,Away Team,Venue
13,"Saturday 12 June 14:20 (UTC+12)",Central Pulse, 52 – 58,Waikato Bay of Plenty Magic,"Pettigrew Green Arena, Napier"
13,"Saturday 12 June 14:20 (UTC+10)",Melbourne Vixens, 46 – 58,New South Wales Swifts,"Hisense Arena, Melbourne"
13,"Sunday 13 June 14:20 (UTC+9:30)",Adelaide Thunderbirds, 54 – 45,West Coast Fever,"Adelaide Arena, Adelaide"
13,"Monday 14 June 19:20 (UTC+12)",Northern Mystics, 43 – 50,Southern Steel,"Trusts Stadium, Auckland"
13,"Monday 14 June 19:05 (UTC+10)",Queensland Firebirds, 75 – 32,Canterbury Tactix,Brisbane Convention and Exhibition Centre
14,"Saturday 19 June 14:20 (UTC+12)",Waikato Bay of Plenty Magic, 53 – 44,Adelaide Thunderbirds,"Energy Events Centre, Rotorua"
14,"Sunday 20 June 12:50 (UTC+8)",West Coast Fever, 67 – 59,Queensland Firebirds,"Challenge Stadium, Perth"
14,"Sunday 20 June 18:50 (UTC+12)",Canterbury Tactix, 47 – 58,Northern Mystics,"Westpac Arena, Christchurch"
14,"Monday 21 June 19:20 (UTC+12)",Central Pulse, 48 – 49,Melbourne Vixens,"Te Rauparaha Arena, Porirua"
14,"Monday 21 June 19:05 (UTC+10)",New South Wales Swifts, 55 – 38,Southern Steel,"State Sports Centre, Sydney"
15,"Sunday 27 June 14:50 (UTC+10)",New South Wales Swifts, 38 - 52,Adelaide Thunderbirds,"Acer Arena, Sydney"
15,"Monday 28 June 19:20 (UTC+12)",Waikato Bay of Plenty Magic, 50 - 42,Southern Steel,"Vector Arena, Auckland" 
16,"Sunday 4 July 14:50 (UTC+10)",New South Wales Swifts, 49 - 54,Waikato Bay of Plenty Magic,Newcastle Entertainment Centre
17,"Sunday 11 July 14:30 (UTC+9:30)",Adelaide Thunderbirds, 52 - 42,Waikato Bay of Plenty Magic,Adelaide Entertainment Centre
